#Species	Gene_1	Ext_1	Species	Gene_2	Ext_2	Weight
Knaganishii	519_86628	h	Knaganishii	520_208120	h	1
Kafricana	519_86627	h	Kafricana	520_208150	h	1
Scerevisiae	519_86624	h	Scerevisiae	520_208133	h	1
Scerevisiae	904_210797	t	Scerevisiae	905_127388	h	1
Ndairenensis	4763_48650	t	Ndairenensis	4764_196858	t	1
Kafricana	4763_48647	t	Kafricana	4764_196854	t	1
node_9	4763_48644	t	node_9	4764_196852	t	1
Knaganishii	4763_48636	t	Knaganishii	4764_196855	t	1
Scerevisiae	4763_48631	t	Scerevisiae	4764_196867	t	1
Cglabrata	4763_48612	t	Cglabrata	4764_196866	t	1
Ndairenensis	864_65250	t	Ndairenensis	876_191353	t	1
Kafricana	864_65247	t	Kafricana	876_191368	t	1
Knaganishii	864_65240	t	Knaganishii	876_191369	t	1
Scerevisiae	864_65235	t	Scerevisiae	876_191348	t	1
Cglabrata	864_65234	t	Cglabrata	876_191365	t	1
node_7	864_65232	t	node_7	876_191362	t	1
Ndairenensis	1723_82364	h	Ndairenensis	2045_181306	t	1
Ndairenensis	608_129877	h	Ndairenensis	3675_69146	t	1
Scerevisiae	4564_47929	h	Scerevisiae	4690_217615	t	1
Cglabrata	4564_47928	h	Cglabrata	4690_217595	t	1
Ndairenensis	4564_47907	h	Ndairenensis	4690_217609	t	1
Knaganishii	4564_47904	h	Knaganishii	4690_217626	t	1
Kafricana	4564_47894	h	Kafricana	4690_217625	t	1
Scerevisiae	217_22544	h	Scerevisiae	3619_13843	h	1
Ndairenensis	158_122715	h	Ndairenensis	1371_166318	t	1
Scerevisiae	1404_150427	h	Scerevisiae	1406_167666	h	1
Scerevisiae	4693_123410	h	Scerevisiae	4695_188043	t	1
Kafricana	4693_123400	h	Kafricana	4695_188047	t	1
Ndairenensis	4693_123387	h	Ndairenensis	4695_188050	t	1
Ndairenensis	4693_123384	h	Ndairenensis	4695_188035	t	1
Cglabrata	4693_123360	h	Cglabrata	4695_188042	t	1
Ndairenensis	2162_15695	t	Ndairenensis	2163_44540	h	1
Knaganishii	2162_15692	t	Knaganishii	2163_44537	h	1
Kafricana	2162_15691	t	Kafricana	2163_44534	h	1
node_10	2162_15690	t	node_10	2163_44533	h	1
Scerevisiae	2162_15688	t	Scerevisiae	2163_44531	h	1
Cglabrata	2162_15687	t	Cglabrata	2163_44530	h	1
Knaganishii	2057_174006	h	Knaganishii	2058_105276	h	1
Kafricana	2057_174005	h	Kafricana	2058_105275	h	1
Scerevisiae	2057_173983	h	Scerevisiae	2058_105272	h	1
Ndairenensis	2894_219922	h	Ndairenensis	2895_79227	t	1
Knaganishii	2894_219917	h	Knaganishii	2895_79238	t	1
Kafricana	2894_219916	h	Kafricana	2895_79237	t	1
Scerevisiae	2894_219913	h	Scerevisiae	2895_79222	t	1
Knaganishii	3390_14750	t	Knaganishii	4439_195749	t	1
Kafricana	3390_14749	t	Kafricana	4439_195748	t	1
node_10	3390_14748	t	node_10	4439_195747	t	1
Scerevisiae	3390_14746	t	Scerevisiae	4439_195745	t	1
Cglabrata	3390_14745	t	Cglabrata	4439_195744	t	1
Knaganishii	4507_153588	t	Knaganishii	4509_85810	t	1
Cglabrata	932_139824	h	Cglabrata	934_94823	t	1
Cglabrata	1430_220217	t	Cglabrata	2385_21641	t	1
Scerevisiae	2768_16042	h	Scerevisiae	2771_35437	t	1
Knaganishii	1524_200106	t	Knaganishii	2267_14178	t	1
Ndairenensis	1524_200088	t	Ndairenensis	2267_14194	t	1
Scerevisiae	1524_200079	t	Scerevisiae	2267_14187	t	1
Cglabrata	1524_200052	t	Cglabrata	2267_14173	t	1
Scerevisiae	422_67001	t	Scerevisiae	1708_222853	h	1
Cglabrata	422_66988	t	Cglabrata	1708_222869	h	1
Cglabrata	437_46827	h	Cglabrata	1650_76647	t	1
Ndairenensis	151_116531	h	Ndairenensis	152_217826	t	1
Knaganishii	151_116528	h	Knaganishii	152_217881	t	1
Kafricana	151_116527	h	Kafricana	152_217880	t	1
node_10	151_116526	h	node_10	152_217879	t	1
Cglabrata	151_116500	h	Cglabrata	152_217876	t	1
Ndairenensis	151_116493	h	Ndairenensis	152_217859	t	1
Kafricana	151_116489	h	Kafricana	152_217856	t	1
Scerevisiae	151_116481	h	Scerevisiae	152_217821	t	1
Knaganishii	4496_95562	t	Knaganishii	4499_166073	t	1
Kafricana	4496_95540	t	Kafricana	4499_166084	t	1
Ndairenensis	4496_95531	t	Ndairenensis	4499_166064	t	1
Scerevisiae	4496_95526	t	Scerevisiae	4499_166055	t	1
Kafricana	355_94982	h	Kafricana	4940_99679	h	1
Knaganishii	355_94970	h	Knaganishii	4940_99658	h	1
Knaganishii	1171_169702	t	Knaganishii	1875_6793	t	1
Kafricana	1171_169688	t	Kafricana	1875_6799	t	1
Scerevisiae	847_206726	h	Scerevisiae	848_164327	h	1
Knaganishii	976_169024	h	Knaganishii	977_215085	h	1
Cglabrata	976_169019	h	Cglabrata	977_215123	h	1
Ndairenensis	976_168998	h	Ndairenensis	977_215112	h	1
Kafricana	976_168990	h	Kafricana	977_215109	h	1
Scerevisiae	976_168985	h	Scerevisiae	977_215105	h	1
Cglabrata	1509_38201	t	Cglabrata	1513_223427	h	1
Kafricana	2330_224479	h	Kafricana	2332_169615	h	1
Cglabrata	2330_224461	h	Cglabrata	2332_169581	h	1
Scerevisiae	2330_224434	h	Scerevisiae	2332_169624	h	1
Knaganishii	2330_224427	h	Knaganishii	2332_169594	h	1
Ndairenensis	2400_205171	t	Ndairenensis	2410_141011	t	1
Knaganishii	2400_205168	t	Knaganishii	2410_141008	t	1
Kafricana	2400_205167	t	Kafricana	2410_141007	t	1
node_10	2400_205166	t	node_10	2410_141006	t	1
node_9	2400_205165	t	node_9	2410_141005	t	1
Scerevisiae	2400_205164	t	Scerevisiae	2410_141004	t	1
node_7	2400_205161	t	node_7	2410_141001	t	1
Scerevisiae	22_94184	t	Scerevisiae	3550_163164	t	1
Cglabrata	22_94183	t	Cglabrata	3550_163163	t	1
Knaganishii	3814_29946	h	Knaganishii	3815_186229	t	1
Scerevisiae	3814_29941	h	Scerevisiae	3815_186255	t	1
Ndairenensis	3814_29930	h	Ndairenensis	3815_186241	t	1
Kafricana	3814_29927	h	Kafricana	3815_186266	t	1
Cglabrata	933_29440	h	Cglabrata	3878_37152	h	1
Scerevisiae	933_29384	h	Scerevisiae	3878_37153	h	1
Cglabrata	4956_139165	t	Cglabrata	4994_175911	h	1
Ndairenensis	4822_82407	t	Ndairenensis	4823_98452	t	1
Kafricana	4822_82404	t	Kafricana	4823_98449	t	1
Cglabrata	4822_82399	t	Cglabrata	4823_98411	t	1
Ndairenensis	2475_106066	t	Ndairenensis	2477_8785	t	1
Ndairenensis	2301_191318	h	Ndairenensis	2574_116869	t	1
Knaganishii	2301_191315	h	Knaganishii	2574_116883	t	1
Kafricana	2301_191314	h	Kafricana	2574_116882	t	1
Scerevisiae	2301_191311	h	Scerevisiae	2574_116878	t	1
Cglabrata	2301_191310	h	Cglabrata	2574_116894	t	1
Ndairenensis	2156_9463	t	Ndairenensis	2820_59782	t	1
Kafricana	2156_9458	t	Kafricana	2820_59796	t	1
Kafricana	1688_167204	t	Kafricana	2690_166138	h	1
Knaganishii	2810_96863	h	Knaganishii	3512_189484	h	1
Ndairenensis	1000_7140	t	Ndairenensis	2583_115413	h	1
Kafricana	337_224658	t	Kafricana	4094_155755	t	1
Cglabrata	91_112722	h	Cglabrata	93_220646	t	1
Kafricana	70_77426	t	Kafricana	2011_81183	h	1
Knaganishii	70_77410	t	Knaganishii	2011_81160	h	1
Knaganishii	164_127679	h	Knaganishii	1376_133652	h	1
Kafricana	164_127678	h	Kafricana	1376_133651	h	1
node_10	164_127677	h	node_10	1376_133650	h	1
Cglabrata	164_127673	h	Cglabrata	1376_133647	h	1
Scerevisiae	741_50692	h	Scerevisiae	1325_70773	h	1
Ndairenensis	741_50645	h	Ndairenensis	1325_70780	h	1
Knaganishii	741_50642	h	Knaganishii	1325_70777	h	1
Kafricana	741_50641	h	Kafricana	1325_70776	h	1
node_10	741_50640	h	node_10	1325_70775	h	1
Cglabrata	741_50638	h	Cglabrata	1325_70772	h	1
Knaganishii	3706_146656	t	Knaganishii	3707_134882	h	1
Ndairenensis	3706_146652	t	Ndairenensis	3707_134858	h	1
Scerevisiae	3706_146640	t	Scerevisiae	3707_134840	h	1
Cglabrata	3706_146639	t	Cglabrata	3707_134877	h	1
Scerevisiae	2531_33067	h	Scerevisiae	2532_41056	t	1
Ndairenensis	185_3524	t	Ndairenensis	1395_211203	t	1
Knaganishii	185_3521	t	Knaganishii	1395_211177	t	1
Kafricana	185_3520	t	Kafricana	1395_211176	t	1
Cglabrata	185_3516	t	Cglabrata	1395_211151	t	1
Knaganishii	1824_88666	t	Knaganishii	2102_138094	h	1
Kafricana	932_139856	h	Kafricana	3877_187801	h	1
Kafricana	369_73736	h	Kafricana	4024_34172	h	1
Ndairenensis	369_73726	h	Ndairenensis	4024_34176	h	1
Knaganishii	369_73723	h	Knaganishii	4024_34173	h	1
Scerevisiae	369_73719	h	Scerevisiae	4024_34181	h	1
Ndairenensis	3145_48802	t	Ndairenensis	3146_141636	t	1
Knaganishii	3145_48799	t	Knaganishii	3146_141633	t	1
Kafricana	3145_48798	t	Kafricana	3146_141625	t	1
Scerevisiae	3145_48795	t	Scerevisiae	3146_141629	t	1
Cglabrata	3145_48794	t	Cglabrata	3146_141620	t	1
Knaganishii	1393_166808	h	Knaganishii	1395_211207	h	1
Cglabrata	3805_26135	t	Cglabrata	3806_47095	t	1
Ndairenensis	3805_26123	t	Ndairenensis	3806_47109	t	1
Knaganishii	3805_26120	t	Knaganishii	3806_47100	t	1
Kafricana	3805_26119	t	Kafricana	3806_47099	t	1
Scerevisiae	3805_26116	t	Scerevisiae	3806_47104	t	1
Ndairenensis	1280_50839	t	Ndairenensis	2288_188545	h	1
Cglabrata	1280_50816	t	Cglabrata	2288_188538	h	1
Ndairenensis	217_22559	h	Ndairenensis	3618_114193	t	1
Knaganishii	3289_134068	h	Knaganishii	3609_208083	t	1
Ndairenensis	3289_134036	h	Ndairenensis	3609_208086	t	1
Kafricana	3289_134033	h	Kafricana	3609_208082	t	1
node_9	3289_134030	h	node_9	3609_208080	t	1
Scerevisiae	3289_134029	h	Scerevisiae	3609_208079	t	1
Cglabrata	3289_134026	h	Cglabrata	3609_208078	t	1
node_8	3289_134025	h	node_8	3609_208077	t	1
node_7	3289_134024	h	node_7	3609_208076	t	1
Knaganishii	321_217679	h	Knaganishii	322_37942	t	1
Kafricana	321_217666	h	Kafricana	322_37910	t	1
Scerevisiae	321_217662	h	Scerevisiae	322_37927	t	1
Cglabrata	321_217648	h	Cglabrata	322_37937	t	1
Ndairenensis	1010_71933	h	Ndairenensis	4861_150947	t	1
Knaganishii	1010_71930	h	Knaganishii	4861_150922	t	1
Kafricana	1010_71929	h	Kafricana	4861_150935	t	1
Knaganishii	3582_14000	h	Knaganishii	3583_51812	h	1
Kafricana	3582_13999	h	Kafricana	3583_51852	h	1
Cglabrata	3582_13995	h	Cglabrata	3583_51837	h	1
Ndairenensis	3582_13987	h	Ndairenensis	3583_51855	h	1
Scerevisiae	3582_13982	h	Scerevisiae	3583_51838	h	1
Knaganishii	2428_120880	h	Knaganishii	5006_200352	t	1
Kafricana	2428_120876	h	Kafricana	5006_200351	t	1
Cglabrata	2428_120864	h	Cglabrata	5006_200317	t	1
Kafricana	2428_120855	h	Kafricana	5006_200307	t	1
Knaganishii	2428_120849	h	Knaganishii	5006_200308	t	1
Scerevisiae	2428_120844	h	Scerevisiae	5006_200303	t	1
Ndairenensis	2428_120840	h	Ndairenensis	5006_200299	t	1
Cglabrata	2428_120819	h	Cglabrata	5006_200341	t	1
Ndairenensis	1330_107769	h	Ndairenensis	1332_15288	h	1
Cglabrata	1330_107764	h	Cglabrata	1332_15293	h	1
Knaganishii	1330_107760	h	Knaganishii	1332_15285	h	1
Kafricana	1330_107759	h	Kafricana	1332_15284	h	1
Ndairenensis	615_123170	h	Ndairenensis	616_217939	t	1
Knaganishii	615_123167	h	Knaganishii	616_217936	t	1
Kafricana	615_123166	h	Kafricana	616_217935	t	1
node_10	615_123165	h	node_10	616_217934	t	1
Scerevisiae	615_123163	h	Scerevisiae	616_217932	t	1
Cglabrata	615_123162	h	Cglabrata	616_217931	t	1
Ndairenensis	143_222206	t	Ndairenensis	145_22742	t	1
Knaganishii	143_222203	t	Knaganishii	145_22739	t	1
Kafricana	143_222202	t	Kafricana	145_22738	t	1
Scerevisiae	686_96308	h	Scerevisiae	697_72291	t	1
Cglabrata	4562_20343	t	Cglabrata	4614_184496	h	1
Scerevisiae	4562_20333	t	Scerevisiae	4614_184497	h	1
Kafricana	4562_20311	t	Kafricana	4614_184500	h	1
Knaganishii	4562_20288	t	Knaganishii	4614_184501	h	1
Knaganishii	1805_47322	h	Knaganishii	1806_69774	t	1
Kafricana	1805_47321	h	Kafricana	1806_69748	t	1
Scerevisiae	1805_47318	h	Scerevisiae	1806_69734	t	1
Ndairenensis	1770_31616	h	Ndairenensis	1771_21346	h	1
Scerevisiae	1770_31611	h	Scerevisiae	1771_21330	h	1
Cglabrata	1770_31548	h	Cglabrata	1771_21339	h	1
Scerevisiae	262_102278	h	Scerevisiae	3649_189709	t	1
Cglabrata	262_102277	h	Cglabrata	3649_189697	t	1
Knaganishii	262_102240	h	Knaganishii	3649_189753	t	1
Kafricana	262_102239	h	Kafricana	3649_189730	t	1
Ndairenensis	4956_139177	h	Ndairenensis	4957_98523	h	1
Scerevisiae	4956_139166	h	Scerevisiae	4957_98516	h	1
Cglabrata	4956_139165	h	Cglabrata	4957_98515	h	1
node_8	4956_139164	h	node_8	4957_98514	h	1
Cglabrata	3184_74096	h	Cglabrata	3195_192194	h	1
Ndairenensis	3184_74077	h	Ndairenensis	3195_192208	h	1
Knaganishii	3401_212329	h	Knaganishii	3402_53153	h	1
Ndairenensis	3401_212315	h	Ndairenensis	3402_53156	h	1
Kafricana	3401_212307	h	Kafricana	3402_53152	h	1
Scerevisiae	3401_212295	h	Scerevisiae	3402_53149	h	1
Knaganishii	2241_231741	h	Knaganishii	2242_126984	h	1
Kafricana	2241_231740	h	Kafricana	2242_126965	h	1
Scerevisiae	2241_231736	h	Scerevisiae	2242_126961	h	1
Knaganishii	1069_58253	t	Knaganishii	1070_108484	t	1
Scerevisiae	1069_58246	t	Scerevisiae	1070_108480	t	1
Cglabrata	1069_58245	t	Cglabrata	1070_108479	t	1
Ndairenensis	1069_58235	t	Ndairenensis	1070_108487	t	1
Kafricana	1069_58228	t	Kafricana	1070_108483	t	1
Knaganishii	56_212554	t	Knaganishii	2507_142110	t	1
Kafricana	56_212553	t	Kafricana	2507_142109	t	1
Ndairenensis	1907_172198	t	Ndairenensis	1908_70888	t	1
Scerevisiae	1907_172191	t	Scerevisiae	1908_70849	t	1
Cglabrata	1907_172148	t	Cglabrata	1908_70853	t	1
Ndairenensis	1850_17881	h	Ndairenensis	1851_170260	t	1
Knaganishii	1850_17855	h	Knaganishii	1851_170301	t	1
Kafricana	1850_17847	h	Kafricana	1851_170300	t	1
Cglabrata	1850_17841	h	Cglabrata	1851_170268	t	1
Ndairenensis	100_216981	h	Ndairenensis	3423_20661	t	1
Scerevisiae	3822_112995	t	Scerevisiae	4801_30864	t	1
Scerevisiae	2111_203309	h	Scerevisiae	2112_194807	h	1
Scerevisiae	4955_183434	t	Scerevisiae	4956_139166	t	1
Ndairenensis	3672_41135	h	Ndairenensis	3777_91334	t	1
Scerevisiae	3672_41121	h	Scerevisiae	3777_91327	t	1
Cglabrata	3672_41117	h	Cglabrata	3777_91311	t	1
Ndairenensis	871_60204	h	Ndairenensis	3862_12753	t	1
Cglabrata	871_60191	h	Cglabrata	3862_12745	t	1
Kafricana	1957_125924	h	Kafricana	2227_129902	t	1
Ndairenensis	900_229472	h	Ndairenensis	3206_14252	h	1
Knaganishii	900_229469	h	Knaganishii	3206_14249	h	1
Kafricana	900_229468	h	Kafricana	3206_14248	h	1
node_10	900_229467	h	node_10	3206_14247	h	1
Ndairenensis	637_20875	t	Ndairenensis	4948_29308	h	1
Kafricana	637_20872	t	Kafricana	4948_29320	h	1
Scerevisiae	637_20868	t	Scerevisiae	4948_29301	h	1
Cglabrata	637_20867	t	Cglabrata	4948_29342	h	1
Knaganishii	668_95170	h	Knaganishii	2278_20373	t	1
Cglabrata	955_89613	h	Cglabrata	4271_127133	t	1
Ndairenensis	694_3033	h	Ndairenensis	695_61224	t	1
Knaganishii	694_3030	h	Knaganishii	695_61221	t	1
Kafricana	694_3029	h	Kafricana	695_61220	t	1
node_10	694_3028	h	node_10	695_61219	t	1
node_9	694_3027	h	node_9	695_61218	t	1
Scerevisiae	694_3026	h	Scerevisiae	695_61217	t	1
Cglabrata	694_3025	h	Cglabrata	695_61216	t	1
node_8	694_3024	h	node_8	695_61215	t	1
node_7	694_3023	h	node_7	695_61214	t	1
Scerevisiae	2015_54504	h	Scerevisiae	2016_209341	h	1
Cglabrata	2015_54503	h	Cglabrata	2016_209340	h	1
Knaganishii	933_29445	h	Knaganishii	934_94831	t	1
Kafricana	933_29403	h	Kafricana	934_94830	t	1
Ndairenensis	933_29389	h	Ndairenensis	934_94843	t	1
Scerevisiae	933_29383	h	Scerevisiae	934_94824	t	1
Kafricana	914_91139	h	Kafricana	3765_222012	t	1
Ndairenensis	1449_24306	t	Ndairenensis	1451_40520	h	1
Ndairenensis	788_107677	t	Ndairenensis	789_132423	h	1
Knaganishii	788_107674	t	Knaganishii	789_132452	h	1
Kafricana	788_107673	t	Kafricana	789_132451	h	1
Scerevisiae	788_107670	t	Scerevisiae	789_132436	h	1
Cglabrata	788_107669	t	Cglabrata	789_132447	h	1
Scerevisiae	288_30185	h	Scerevisiae	320_7205	t	1
Ndairenensis	288_30156	h	Ndairenensis	320_7219	t	1
Kafricana	1774_74631	t	Kafricana	4869_1028	t	1
Knaganishii	3408_20909	h	Knaganishii	3409_88722	t	1
Kafricana	3408_20908	h	Kafricana	3409_88707	t	1
Scerevisiae	3408_20905	h	Scerevisiae	3409_88694	t	1
Cglabrata	3408_20904	h	Cglabrata	3409_88718	t	1
Cglabrata	1096_80465	h	Cglabrata	3397_88358	t	1
Ndairenensis	2883_59019	t	Ndairenensis	2884_181457	h	1
Kafricana	2883_59011	t	Kafricana	2884_181453	h	1
Cglabrata	2883_59007	t	Cglabrata	2884_181449	h	1
Ndairenensis	1197_67250	t	Ndairenensis	1198_146373	h	1
Kafricana	1197_67246	t	Kafricana	1198_146381	h	1
Scerevisiae	1197_67243	t	Scerevisiae	1198_146377	h	1
Cglabrata	1197_67242	t	Cglabrata	1198_146376	h	1
Cglabrata	2132_199722	h	Cglabrata	2840_162419	t	1
Ndairenensis	2716_92682	h	Ndairenensis	3046_46106	t	1
Scerevisiae	2716_92677	h	Scerevisiae	3046_46091	t	1
Ndairenensis	489_211364	h	Ndairenensis	2768_16026	t	1
Knaganishii	1198_146382	t	Knaganishii	1199_118959	t	1
Kafricana	1198_146381	t	Kafricana	1199_118958	t	1
Cglabrata	1198_146376	t	Cglabrata	1199_118954	t	1
Ndairenensis	1198_146373	t	Ndairenensis	1199_118962	t	1
Cglabrata	2589_96180	h	Cglabrata	2591_78596	h	1
Kafricana	3023_49981	t	Kafricana	3784_85679	t	1
Knaganishii	3023_49966	t	Knaganishii	3784_85662	t	1
Knaganishii	290_233057	t	Knaganishii	291_103664	t	1
Scerevisiae	290_233046	t	Scerevisiae	291_103660	t	1
Cglabrata	290_233013	t	Cglabrata	291_103676	t	1
Scerevisiae	258_15180	h	Scerevisiae	571_58879	h	1
Cglabrata	258_15179	h	Cglabrata	571_58853	h	1
Knaganishii	84_156870	t	Knaganishii	86_108434	h	1
Cglabrata	84_156865	t	Cglabrata	86_108429	h	1
Ndairenensis	84_156861	t	Ndairenensis	86_108458	h	1
Kafricana	84_156858	t	Kafricana	86_108450	h	1
Scerevisiae	84_156854	t	Scerevisiae	86_108445	h	1
Scerevisiae	244_58071	t	Scerevisiae	245_18558	t	1
Knaganishii	244_58066	t	Knaganishii	245_18562	t	1
Cglabrata	244_58061	t	Cglabrata	245_18557	t	1
Ndairenensis	244_58056	t	Ndairenensis	245_18565	t	1
Kafricana	244_58053	t	Kafricana	245_18561	t	1
Knaganishii	1431_177040	h	Knaganishii	3266_202406	t	1
Ndairenensis	3021_205205	t	Ndairenensis	4615_33287	h	1
Knaganishii	3021_205202	t	Knaganishii	4615_33265	h	1
Kafricana	3021_205201	t	Kafricana	4615_33283	h	1
Cglabrata	3021_205197	t	Cglabrata	4615_33260	h	1
Ndairenensis	2127_77639	h	Ndairenensis	2846_141974	t	1
Cglabrata	4322_79106	t	Cglabrata	4333_90906	h	1
Ndairenensis	2183_87175	h	Ndairenensis	2850_33152	h	1
Ndairenensis	3510_14151	t	Ndairenensis	3511_229175	t	1
Kafricana	3510_14148	t	Kafricana	3511_229172	t	1
node_9	3510_14145	t	node_9	3511_229169	t	1
Scerevisiae	3510_14144	t	Scerevisiae	3511_229168	t	1
Knaganishii	3510_14135	t	Knaganishii	3511_229188	t	1
Cglabrata	3510_14130	t	Cglabrata	3511_229148	t	1
Ndairenensis	2299_24925	h	Ndairenensis	3476_220797	t	1
Knaganishii	2299_24922	h	Knaganishii	3476_220771	t	1
Kafricana	2299_24921	h	Kafricana	3476_220794	t	1
Knaganishii	1429_97203	h	Knaganishii	3269_173666	h	1
Kafricana	1429_97202	h	Kafricana	3269_173665	h	1
Kafricana	702_221704	h	Kafricana	712_161974	h	1
Ndairenensis	2166_169448	h	Ndairenensis	2175_20110	t	1
Scerevisiae	2166_169443	h	Scerevisiae	2175_20103	t	1
Knaganishii	2166_169434	h	Knaganishii	2175_20123	t	1
Kafricana	2166_169433	h	Kafricana	2175_20107	t	1
Cglabrata	2166_169429	h	Cglabrata	2175_20094	t	1
Kafricana	1180_24254	h	Kafricana	1883_3332	h	1
Knaganishii	1180_24233	h	Knaganishii	1883_3380	h	1
Ndairenensis	2147_168374	t	Ndairenensis	2826_188680	h	1
Knaganishii	2147_168371	t	Knaganishii	2826_188677	h	1
Kafricana	2147_168370	t	Kafricana	2826_188676	h	1
Knaganishii	147_177833	h	Knaganishii	151_116528	t	1
Cglabrata	4580_148572	h	Cglabrata	4582_61124	t	1
Kafricana	4580_148560	h	Kafricana	4582_61157	t	1
Scerevisiae	4580_148556	h	Scerevisiae	4582_61125	t	1
Ndairenensis	4580_148547	h	Ndairenensis	4582_61130	t	1
Knaganishii	4580_148544	h	Knaganishii	4582_61114	t	1
Kafricana	2011_81183	t	Kafricana	2012_81590	t	1
Scerevisiae	2011_81166	t	Scerevisiae	2012_81586	t	1
Knaganishii	2011_81160	t	Knaganishii	2012_81606	t	1
Kafricana	3063_84898	h	Kafricana	3068_219366	h	1
Knaganishii	485_208293	h	Knaganishii	1959_82293	t	1
Kafricana	485_208292	h	Kafricana	1959_82279	t	1
Cglabrata	485_208288	h	Cglabrata	1959_82288	t	1
Ndairenensis	485_208281	h	Ndairenensis	1959_82271	t	1
Kafricana	216_138547	h	Kafricana	3619_13848	h	1
Ndairenensis	216_138536	h	Ndairenensis	3619_13834	h	1
Knaganishii	216_138525	h	Knaganishii	3619_13805	h	1
