CAGL0C00231g CAGL0C00253g
KNAG0H00105 KNAG0H00110
KNAG0H01740 KNAG0H01750
KNAG0H03850 KNAG0H03860
KNAG0J00110 KNAG0J00120
KNAG0K00120 KNAG0K00130
KNAG0K01030 KNAG0K01040
KNAG0L00670 KNAG0L00680
KNAG0L01700 KNAG0L01710
SAKL0A10076g SAKL0A10098g
SAKL0A10560g SAKL0A10582g
SAKL0B00110g SAKL0B00132g
SAKL0B00220g SAKL0B00242g
SAKL0B00264g SAKL0B00286g
SAKL0B08184g SAKL0B08250g
SAKL0B10670g SAKL0B10714g
SAKL0B12606g SAKL0B12628g
SAKL0B12760g SAKL0B12804g
SAKL0C00374g SAKL0C00396g
SAKL0C01562g SAKL0C01584g
SAKL0C02134g SAKL0C02156g
SAKL0C04136g SAKL0C04158g
SAKL0C05588g SAKL0C05632g
SAKL0C06138g SAKL0C06160g
SAKL0C10648g SAKL0C10670g
SAKL0C10868g SAKL0C10890g
SAKL0C10956g SAKL0C10978g
SAKL0C13904g SAKL0C13926g
SAKL0C13970g SAKL0C13992g
SAKL0C14058g SAKL0C14080g
SAKL0D00110g SAKL0D00132g
SAKL0D15158g SAKL0D15180g
SAKL0D15400g SAKL0D15422g
SAKL0E00176g SAKL0E00242g
SAKL0E05258g SAKL0E05280g
SAKL0E05324g SAKL0E05346g
SAKL0E15378g SAKL0E15422g
SAKL0F00132g SAKL0F00176g
SAKL0F00242g SAKL0F00286g
SAKL0F00308g SAKL0F00330g
SAKL0F00418g SAKL0F00440g
SAKL0F16324g SAKL0F16346g
SAKL0F16478g SAKL0F16500g
SAKL0F16522g SAKL0F16544g
SAKL0F16566g SAKL0F16588g
SAKL0F16610g SAKL0F16632g
SAKL0F16654g SAKL0F16676g
SAKL0F16720g SAKL0F16742g
SAKL0G03300g SAKL0G03322g
SAKL0G19844g SAKL0G19866g
SAKL0H00176g SAKL0H00286g
KLTH0A00242g KLTH0A00264g
KLTH0A00484g KLTH0A00506g
KLTH0A08008g KLTH0A08052g
KLTH0B00132g KLTH0B00154g
KLTH0B00286g KLTH0B00308g
KLTH0B00330g KLTH0B00352g
KLTH0B00528g KLTH0B00550g
KLTH0B00594g KLTH0B00616g
KLTH0B05038g KLTH0B05060g
KLTH0B10032g KLTH0B10054g
KLTH0B10076g KLTH0B10098g
KLTH0B10340g KLTH0B10384g
KLTH0B10428g KLTH0B10450g
KLTH0B10472g KLTH0B10494g
KLTH0C00418g KLTH0C00440g
KLTH0C10516g KLTH0C10538g
KLTH0C11858g KLTH0C11880g
KLTH0D00110g KLTH0D00132g
KLTH0D00396g KLTH0D00418g
KLTH0D16962g KLTH0D16984g
KLTH0E00176g KLTH0E00198g
KLTH0E00286g KLTH0E00308g
KLTH0E00352g KLTH0E00374g
KLTH0E00418g KLTH0E00440g
KLTH0E03102g KLTH0E03124g
KLTH0E03146g KLTH0E03168g
KLTH0E16720g KLTH0E16742g
KLTH0E16764g KLTH0E16786g
KLTH0E16808g KLTH0E16852g
KLTH0G17424g KLTH0G17446g
KLTH0G19404g KLTH0G19426g
KLTH0G19448g KLTH0G19470g
KLTH0G19602g KLTH0G19624g
KLTH0G19668g KLTH0G19690g
KLTH0G19734g KLTH0G19756g
KLTH0H00198g KLTH0H00220g
NCAS0A00130 NCAS0A00140
NCAS0A00400 NCAS0A00410
NCAS0A03020 NCAS0A03030
NCAS0A03080 NCAS0A03090
NCAS0A03100 NCAS0A03110
NCAS0A03400 NCAS0A03410
NCAS0B05130 NCAS0B05140
NCAS0B05760 NCAS0B05770
NCAS0C00240 NCAS0C00250
NCAS0C00330 NCAS0C00340
NCAS0C02990 NCAS0C03000
NCAS0C05120 NCAS0C05130
NCAS0D02520 NCAS0D02530
NCAS0D03540 NCAS0D03550
NCAS0E00150 NCAS0E00160
NCAS0E01800 NCAS0E01810
NCAS0E04210 NCAS0E04220
NCAS0F00120 NCAS0F00130
NCAS0F00500 NCAS0F00510
NCAS0F04060 NCAS0F04070
NCAS0F04100 NCAS0F04110
NCAS0G01860 NCAS0G01870
NCAS0G01880 NCAS0G01890
NCAS0H01110 NCAS0H01120
NCAS0H03590 NCAS0H03600
NCAS0H03620 NCAS0H03630
NCAS0I02590 NCAS0I02600
NCAS0I03160 NCAS0I03170
NCAS0J00100 NCAS0J00110
NCAS0J00150 NCAS0J00160
NCAS0J00850 NCAS0J00860
NDAI0A08120 NDAI0A08130
NDAI0B00520 NDAI0B00550
NDAI0B00580 NDAI0B00590
NDAI0B04070 NDAI0B04080
NDAI0C06310 NDAI0C06320
NDAI0D00680 NDAI0D00690
NDAI0D00760 NDAI0D00770
NDAI0D00900 NDAI0D00910
NDAI0D01215 NDAI0D01220
NDAI0D05000 NDAI0D05010
NDAI0F00120 NDAI0F00130
NDAI0F00140 NDAI0F00150
NDAI0F04540 NDAI0F04550
NDAI0G00120 NDAI0G00130
NDAI0G00540 NDAI0G00550
NDAI0G01450 NDAI0G01460
NDAI0H00490 NDAI0H00500
NDAI0H03480 NDAI0H03490
NDAI0H04040 NDAI0H04050
NDAI0J03040 NDAI0J03050
NDAI0K02950 NDAI0K02960
NDAI0K02970 NDAI0K02980
NDAI0K03000 NDAI0K03010
YAL068W-A YAL068C
YAL067W-A YAL067C
YAL066W YAL065C
YAL064W-B YAL064C-A
YAL064W YAL063C-A
YAR019W-A YAR020C
YAR029W YAR030C
YAR053W YAR060C
YAR068W YAR069C
YBL113W-A YBL112C
YBL109W YBL108C-A
YBL100W-C YBL100C
YBR295W YBR296C
YBR297W YBR298C
YBR299W YBR300C
YBR301W YBR302C
YCL074W YCL073C
YCL069W YCL068C
YCR047W-A YCR049C
YCR095W-A YCR096C
YCR097W-A YCR098C
YCR107W YCR108C
YDL247W YDL246C
YDL244W YDL243C
YDL241W YDL240C-A
YDL163W YDL162C
YDL152W YDL151C
YDL034W YDL033C
YDL025W-A YDL024C
YDR094W YDR095C
YDR539W YDR540C
YDR542W YDR543C
YDR545W YDR545C-A
YEL077W-A YEL076C-A
YEL075W-A YEL075C
YEL074W YEL073C
YEL070W YEL069C
YEL010W YEL009C-A
YEL008W YEL008C-A
YER066W YER066C-A
YER084W-A YER085C
YER188W YER188C-A
YER190W YER190C-A
YFL067W YFL066C
YFL061W YFL060C
YFL058W YFL057C
YFL052W YFL051C
YFL015W-A YFL015C
YFR034W-A YFR035C
YGL262W YGL261C
YGL258W YGL257C
YGL218W YGL217C
YGR153W YGR154C
YGR288W YGR289C
YGR290W YGR291C
YGR292W YGR293C
YGR294W YGR295C
YGR296W YGR296C-A
YHL050W-A YHL049C
YHL048W YHL047C
YHL046W-A YHL046C
YHR032W-A YHR032C-A
YHR052W-A YHR053C
YHR054W-A YHR055C
YHR073W-A YHR073C-B
YHR180W-A YHR180C-B
YHR209W YHR210C
YHR211W YHR212C
YHR214W-A YHR214C-D
YHR216W YHR217C
YHR219W YHR219C-A
YIL177W-A YIL176C
YIL173W YIL172C
YIL170W YIL169C
YIL167W YIL166C
YIL060W YIL059C
YIL029W-A YIL029C
YIR020W-A YIR020C-B
YIR041W YIR042C
YJL225W-A YJL223C
YJL222W YJL221C
YJL217W YJL216C
YJL213W YJL212C
YJL120W YJL119C
YJL077W-B YJL077C
YJL028W YJL027C
YJR037W YJR038C
YJR149W YJR150C
YJR155W YJR156C
YJR159W YJR160C
YKL225W YKL224C
YKL223W YKL222C
YKL221W YKL220C
YKL219W YKL218C
YKL037W YKL036C
YKR032W YKR033C
YKR104W YKR105C
YLL066W-B YLL066C
YLL065W YLL064C
YLL061W YLL060C
YLL058W YLL057C
YLR011W YLR012C
YLR041W YLR042C
YLR081W YLR082C
YLR154W-F YLR154C-G
YLR156W YLR156C-A
YLR157W-E YLR157C-C
YLR159W YLR159C-A
YLR279W YLR280C
YLR338W YLR339C
YLR365W YLR364C-A
YLR462W YLR463C
YLR464W YLR465C
YLR466W YLR466C-A
YLR467W YLR467C-A
YML090W YML089C
YML009W-B YML009C-A
YMR316W YMR316C-A
YMR317W YMR318C
YMR320W YMR321C
YMR323W YMR324C
YMR325W YMR326C
YNL335W YNL334C
YNL332W YNL331C
YNL144W-A YNL143C
YNR060W YNR061C
YNR063W YNR064C
YNR070W YNR071C
YNR072W YNR073C
YNR075W YNR075C-A
YNR076W YNR077C
YOL166W-A YOL166C
YOL162W YOL161C
YOL160W YOL159C-A
YOL155W-A YOL155C
YOL154W YOL153C
YOL151W YOL150C
YOL085W-A YOL085C
YOL083W YOL083C-A
YOR161W-B YOR161C-C
YOR382W YOR383C
YOR390W YOR391C
YOR394W YOR394C-A
YOR396W YOR396C-A
YPL283W-A YPL282C
YPL036W YPL035C
YPR076W YPR077C
YPR160W-A YPR160C-A
YPR196W YPR197C
YPR198W YPR199C
YPR204W YPR204C-A
TBLA0A00210 TBLA0A00230
TBLA0A00280 TBLA0A00300
TBLA0A00620 TBLA0A00630
TBLA0A00640 TBLA0A00645
TBLA0A01180 TBLA0A01190
TBLA0A03420 TBLA0A03430
TBLA0A03480 TBLA0A03500
TBLA0A04270 TBLA0A04280
TBLA0A08175 TBLA0A08180
TBLA0B00700 TBLA0B00710
TBLA0B03010 TBLA0B03020
TBLA0B04710 TBLA0B04730
TBLA0B05020 TBLA0B05030
TBLA0C01040 TBLA0C01050
TBLA0C06370 TBLA0C06400
TBLA0C06800 TBLA0C06810
TBLA0C07240 TBLA0C07250
TBLA0C07290 TBLA0C07300
TBLA0D00150 TBLA0D00160
TBLA0F00100 TBLA0F00110
TBLA0F00120 TBLA0F00130
TBLA0G01080 TBLA0G01090
TBLA0G01145 TBLA0G01147
TBLA0G03650 TBLA0G03660
TBLA0H00510 TBLA0H00520
TBLA0H03920 TBLA0H03930
TBLA0I03560 TBLA0I03570
TBLA0J01840 TBLA0J01845
TBLA0J01850 TBLA0J01860
TDEL0A00150 TDEL0A00160
TDEL0A08000 TDEL0A08010
TDEL0A08030 TDEL0A08040
TDEL0B00110 TDEL0B00120
TDEL0B00140 TDEL0B00150
TDEL0B00160 TDEL0B00170
TDEL0B06670 TDEL0B06680
TDEL0C00110 TDEL0C00120
TDEL0D00100 TDEL0D00110
TDEL0D00140 TDEL0D00150
TDEL0D00230 TDEL0D00240
TDEL0D00250 TDEL0D00260
TDEL0D06510 TDEL0D06520
TDEL0D06560 TDEL0D06570
TDEL0D06590 TDEL0D06600
TDEL0D06620 TDEL0D06630
TDEL0D06650 TDEL0D06660
TDEL0E00160 TDEL0E00170
TDEL0E00190 TDEL0E00200
TDEL0E00210 TDEL0E00220
TDEL0E00230 TDEL0E00240
TDEL0E00250 TDEL0E00260
TDEL0E00280 TDEL0E00290
TDEL0E00300 TDEL0E00310
TDEL0E00320 TDEL0E00330
TDEL0E00340 TDEL0E00350
TDEL0E05590 TDEL0E05600
TDEL0E05680 TDEL0E05690
TDEL0E05730 TDEL0E05740
TDEL0F00100 TDEL0F00110
TDEL0F00160 TDEL0F00170
TDEL0F05570 TDEL0F05580
TDEL0G00180 TDEL0G00190
TDEL0G00200 TDEL0G00210
TDEL0G00220 TDEL0G00230
TDEL0G03370 TDEL0G03380
TDEL0G04720 TDEL0G04730
TDEL0G04750 TDEL0G04760
TDEL0G04810 TDEL0G04820
TDEL0G04860 TDEL0G04870
TDEL0G04910 TDEL0G04920
TDEL0G04930 TDEL0G04940
TDEL0G04960 TDEL0G04970
TDEL0G05000 TDEL0G05010
TDEL0H00110 TDEL0H00120
TDEL0H00150 TDEL0H00160
TPHA0A00120 TPHA0A00130
TPHA0A06080 TPHA0A06090
TPHA0B00120 TPHA0B00130
TPHA0B00140 TPHA0B00150
TPHA0B04910 TPHA0B04920
TPHA0C05025 TPHA0C05030
TPHA0D04710 TPHA0D04720
TPHA0F03670 TPHA0F03680
TPHA0G00100 TPHA0G00110
TPHA0G03790 TPHA0G03800
TPHA0G00095 TPHA0H00100
TPHA0I02200 TPHA0I02210
TPHA0J00145 TPHA0J00160
TPHA0K00110 TPHA0K00115
TPHA0K02340 TPHA0K02350
TPHA0K02360 TPHA0K02370
TPHA0L00100 TPHA0L00110
TPHA0M00120 TPHA0M00130
TPHA0M02160 TPHA0M02170
TPHA0N00100 TPHA0N00110
TPHA0N01940 TPHA0N01950
TPHA0O00640 TPHA0O00660
TPHA0P01850 TPHA0P01860
ZYRO0A00154g ZYRO0A00198g
ZYRO0A00220g ZYRO0A00242g
ZYRO0A00286g ZYRO0A00308g
ZYRO0A00330g ZYRO0A00374g
ZYRO0A13574g ZYRO0A13596g
ZYRO0A13772g ZYRO0A13816g
ZYRO0A13860g ZYRO0A13904g
ZYRO0A13926g ZYRO0A13948g
ZYRO0B00154g ZYRO0B00176g
ZYRO0B00308g ZYRO0B00330g
ZYRO0C00132g ZYRO0C00198g
ZYRO0C00242g ZYRO0C00286g
ZYRO0C18414g ZYRO0C18436g
ZYRO0C18568g ZYRO0C18590g
ZYRO0D00154g ZYRO0D00176g
ZYRO0D00242g ZYRO0D00264g
ZYRO0D08866g ZYRO0D08888g
ZYRO0D09922g ZYRO0D09944g
ZYRO0E00132g ZYRO0E00198g
ZYRO0E00220g ZYRO0E00286g
ZYRO0E00330g ZYRO0E00396g
ZYRO0E10032g ZYRO0E10054g
ZYRO0E10362g ZYRO0E10406g
ZYRO0F02002g ZYRO0F02024g
ZYRO0F13552g ZYRO0F13574g
ZYRO0F15774g ZYRO0F15796g
ZYRO0G00154g ZYRO0G00176g
ZYRO0G00308g ZYRO0G00330g
ZYRO0G15378g ZYRO0G15400g
ZYRO0G15444g ZYRO0G15466g
ZYRO0G22528g ZYRO0G22550g
