#Species	Gene_1	Ext_1	Species	Gene_2	Ext_2	Weight
Scerevisiae	3577_127608	h	Scerevisiae	3578_122269	t	1
Cglabrata	3577_127607	h	Cglabrata	3578_122268	t	1
Tphaffii	2413_191708	t	Tphaffii	4984_182772	t	1
Tdelbrueckii	2413_191694	t	Tdelbrueckii	4984_182758	t	1
Zrouxii	2413_191693	t	Zrouxii	4984_182757	t	1
Klactis	2413_191690	t	Klactis	4984_182754	t	1
Egossypii	2413_191689	t	Egossypii	4984_182753	t	1
Ecymbalariae	2413_191688	t	Ecymbalariae	4984_182752	t	1
node_3	2413_191687	t	node_3	4984_182751	t	1
node_2	2413_191686	t	node_2	4984_182750	t	1
Lkluyveri	2413_191685	t	Lkluyveri	4984_182749	t	1
Lthermotolerans	2413_191684	t	Lthermotolerans	4984_182748	t	1
node_1	2413_191683	t	node_1	4984_182747	t	1
Tphaffii	2530_88127	t	Tphaffii	3658_4904	h	1
Ndairenensis	2530_88112	t	Ndairenensis	3658_4924	h	1
Scerevisiae	2530_88104	t	Scerevisiae	3658_4917	h	1
Cglabrata	2530_88102	t	Cglabrata	3658_4884	h	1
Tblattae	2530_88096	t	Tblattae	3658_4927	h	1
Ncastellii	2530_88092	t	Ncastellii	3658_4942	h	1
Tdelbrueckii	2530_88082	t	Tdelbrueckii	3658_4933	h	1
Zrouxii	2530_88081	t	Zrouxii	3658_4932	h	1
Klactis	2530_88078	t	Klactis	3658_4876	h	1
Egossypii	2530_88077	t	Egossypii	3658_4897	h	1
Ecymbalariae	2530_88076	t	Ecymbalariae	3658_4896	h	1
Lthermotolerans	2530_88072	t	Lthermotolerans	3658_4909	h	1
Tblattae	3282_116603	t	Tblattae	3610_15249	h	1
Scerevisiae	492_76583	h	Scerevisiae	803_100008	t	1
Ndairenensis	492_76573	h	Ndairenensis	803_100015	t	1
Kafricana	492_76566	h	Kafricana	803_100011	t	1
Ncastellii	492_76559	h	Ncastellii	803_100014	t	1
Knaganishii	492_76520	h	Knaganishii	803_100012	t	1
Tphaffii	1876_153380	h	Tphaffii	1879_171578	t	1
Klactis	117_108087	h	Klactis	1407_167975	h	1
Egossypii	117_108082	h	Egossypii	1407_167994	h	1
Ecymbalariae	117_108081	h	Ecymbalariae	1407_167993	h	1
Lkluyveri	117_108077	h	Lkluyveri	1407_167989	h	1
Lthermotolerans	117_108076	h	Lthermotolerans	1407_167988	h	1
Tblattae	1780_54915	t	Tblattae	2211_179155	t	1
Cglabrata	1801_184140	h	Cglabrata	3680_8894	h	1
Scerevisiae	2976_213409	h	Scerevisiae	4251_81951	t	1
Zrouxii	2976_213403	h	Zrouxii	4251_81905	t	1
Knaganishii	2976_213399	h	Knaganishii	4251_81918	t	1
Kafricana	2976_213398	h	Kafricana	4251_81941	t	1
Cglabrata	2976_213394	h	Cglabrata	4251_81913	t	1
Tphaffii	2976_213385	h	Tphaffii	4251_81932	t	1
Ndairenensis	2976_213382	h	Ndairenensis	4251_81944	t	1
Ncastellii	2976_213381	h	Ncastellii	4251_81943	t	1
Tdelbrueckii	2976_213374	h	Tdelbrueckii	4251_81906	t	1
Klactis	2976_213369	h	Klactis	4251_81902	t	1
Egossypii	2976_213368	h	Egossypii	4251_81901	t	1
Ecymbalariae	2976_213367	h	Ecymbalariae	4251_81900	t	1
node_3	2976_213366	h	node_3	4251_81899	t	1
node_2	2976_213365	h	node_2	4251_81898	t	1
Lkluyveri	2976_213364	h	Lkluyveri	4251_81897	t	1
Lthermotolerans	2976_213363	h	Lthermotolerans	4251_81896	t	1
node_1	2976_213362	h	node_1	4251_81895	t	1
node_0	2976_213361	h	node_0	4251_81894	t	1
Ecymbalariae	335_207453	h	Ecymbalariae	4814_81824	h	1
Ncastellii	746_186099	h	Ncastellii	3428_226845	h	1
Knaganishii	746_186092	h	Knaganishii	3428_226833	h	1
Kafricana	746_186091	h	Kafricana	3428_226864	h	1
Cglabrata	746_186087	h	Cglabrata	3428_226828	h	1
Tphaffii	1149_71861	h	Tphaffii	4617_220605	t	1
Knaganishii	901_201660	h	Knaganishii	3184_74101	h	1
Kafricana	901_201659	h	Kafricana	3184_74100	h	1
Scerevisiae	3970_63940	h	Scerevisiae	3971_189557	t	1
Cglabrata	3970_63939	h	Cglabrata	3971_189568	t	1
Tphaffii	137_155145	t	Tphaffii	138_49432	t	1
Cglabrata	137_155142	t	Cglabrata	138_49442	t	1
Tblattae	137_155136	t	Tblattae	138_49433	t	1
Ndairenensis	137_155133	t	Ndairenensis	138_49430	t	1
Ncastellii	137_155132	t	Ncastellii	138_49429	t	1
node_11	137_155131	t	node_11	138_49428	t	1
Knaganishii	137_155130	t	Knaganishii	138_49427	t	1
Kafricana	137_155129	t	Kafricana	138_49426	t	1
node_10	137_155128	t	node_10	138_49425	t	1
node_9	137_155127	t	node_9	138_49424	t	1
Scerevisiae	137_155126	t	Scerevisiae	138_49423	t	1
Tdelbrueckii	137_155120	t	Tdelbrueckii	138_49418	t	1
Zrouxii	137_155119	t	Zrouxii	138_49417	t	1
Klactis	137_155116	t	Klactis	138_49413	t	1
Egossypii	137_155115	t	Egossypii	138_49412	t	1
Ecymbalariae	137_155114	t	Ecymbalariae	138_49411	t	1
node_3	137_155113	t	node_3	138_49410	t	1
node_2	137_155112	t	node_2	138_49409	t	1
Lkluyveri	137_155111	t	Lkluyveri	138_49408	t	1
Lthermotolerans	137_155110	t	Lthermotolerans	138_49407	t	1
node_1	137_155109	t	node_1	138_49406	t	1
node_0	137_155108	t	node_0	138_49405	t	1
Tblattae	2962_12980	t	Tblattae	3844_133104	t	1
Tphaffii	2962_12945	t	Tphaffii	3844_133103	t	1
Ndairenensis	2962_12942	t	Ndairenensis	3844_133101	t	1
Ncastellii	2962_12941	t	Ncastellii	3844_133100	t	1
Kafricana	2962_12938	t	Kafricana	3844_133098	t	1
Cglabrata	2962_12935	t	Cglabrata	3844_133092	t	1
Ecymbalariae	2962_12924	t	Ecymbalariae	3844_133069	t	1
Ncastellii	2669_133616	h	Ncastellii	2670_86129	t	1
Knaganishii	2669_133614	h	Knaganishii	2670_86117	t	1
Kafricana	2669_133613	h	Kafricana	2670_86126	t	1
Scerevisiae	2669_133610	h	Scerevisiae	2670_86110	t	1
Cglabrata	2669_133609	h	Cglabrata	2670_86147	t	1
Ncastellii	1659_21449	h	Ncastellii	3405_234877	t	1
Kafricana	1659_21446	h	Kafricana	3405_234843	t	1
Cglabrata	1659_21443	h	Cglabrata	3405_234837	t	1
Tblattae	3008_115308	t	Tblattae	3768_231986	h	1
Knaganishii	2390_223524	h	Knaganishii	2391_154254	h	1
Lthermotolerans	2390_223513	h	Lthermotolerans	2391_154234	h	1
Tblattae	2390_223507	h	Tblattae	2391_154276	h	1
Tphaffii	2390_223506	h	Tphaffii	2391_154275	h	1
Ndairenensis	2390_223504	h	Ndairenensis	2391_154268	h	1
Ncastellii	2390_223503	h	Ncastellii	2391_154267	h	1
Kafricana	2390_223501	h	Kafricana	2391_154265	h	1
Scerevisiae	2390_223497	h	Scerevisiae	2391_154287	h	1
Cglabrata	2390_223496	h	Cglabrata	2391_154249	h	1
Tdelbrueckii	2390_223492	h	Tdelbrueckii	2391_154280	h	1
Zrouxii	2390_223491	h	Zrouxii	2391_154279	h	1
Klactis	2390_223488	h	Klactis	2391_154240	h	1
Egossypii	2390_223487	h	Egossypii	2391_154239	h	1
Ecymbalariae	2390_223486	h	Ecymbalariae	2391_154238	h	1
node_3	2390_223485	h	node_3	2391_154237	h	1
node_2	2390_223484	h	node_2	2391_154236	h	1
Lkluyveri	2390_223483	h	Lkluyveri	2391_154235	h	1
Scerevisiae	4846_120700	t	Scerevisiae	4847_97943	h	1
Cglabrata	4846_120683	t	Cglabrata	4847_97950	h	1
Knaganishii	3620_217240	h	Knaganishii	3621_93199	t	1
Lkluyveri	3620_217227	h	Lkluyveri	3621_93153	t	1
Lthermotolerans	3620_217226	h	Lthermotolerans	3621_93152	t	1
Kafricana	3620_217221	h	Kafricana	3621_93182	t	1
Scerevisiae	3620_217216	h	Scerevisiae	3621_93171	t	1
Tphaffii	3620_217208	h	Tphaffii	3621_93187	t	1
Zrouxii	3620_217203	h	Zrouxii	3621_93163	t	1
Tblattae	3620_217196	h	Tblattae	3621_93188	t	1
Ndairenensis	3620_217193	h	Ndairenensis	3621_93185	t	1
Ncastellii	3620_217192	h	Ncastellii	3621_93184	t	1
Tdelbrueckii	3620_217185	h	Tdelbrueckii	3621_93164	t	1
Klactis	3620_217181	h	Klactis	3621_93158	t	1
Egossypii	3620_217180	h	Egossypii	3621_93157	t	1
Ecymbalariae	3620_217179	h	Ecymbalariae	3621_93156	t	1
node_3	3620_217178	h	node_3	3621_93155	t	1
Tphaffii	519_86633	h	Tphaffii	520_208155	h	1
Ndairenensis	519_86631	h	Ndairenensis	520_208153	h	1
Ncastellii	519_86630	h	Ncastellii	520_208152	h	1
Knaganishii	519_86628	h	Knaganishii	520_208120	h	1
Kafricana	519_86627	h	Kafricana	520_208150	h	1
Scerevisiae	519_86624	h	Scerevisiae	520_208133	h	1
Tblattae	519_86617	h	Tblattae	520_208156	h	1
Tdelbrueckii	519_86608	h	Tdelbrueckii	520_208126	h	1
Zrouxii	519_86607	h	Zrouxii	520_208125	h	1
Klactis	519_86602	h	Klactis	520_208141	h	1
Egossypii	519_86601	h	Egossypii	520_208101	h	1
Lkluyveri	519_86597	h	Lkluyveri	520_208138	h	1
Lthermotolerans	519_86596	h	Lthermotolerans	520_208107	h	1
Tphaffii	904_210806	t	Tphaffii	905_127397	h	1
Scerevisiae	904_210797	t	Scerevisiae	905_127388	h	1
Tphaffii	2026_138347	t	Tphaffii	2029_182563	h	1
Tphaffii	3582_14003	h	Tphaffii	3584_137073	t	1
Tblattae	4763_48653	t	Tblattae	4764_196861	t	1
Ndairenensis	4763_48650	t	Ndairenensis	4764_196858	t	1
Ncastellii	4763_48649	t	Ncastellii	4764_196857	t	1
node_11	4763_48648	t	node_11	4764_196856	t	1
Kafricana	4763_48647	t	Kafricana	4764_196854	t	1
node_9	4763_48644	t	node_9	4764_196852	t	1
Tdelbrueckii	4763_48640	t	Tdelbrueckii	4764_196847	t	1
Zrouxii	4763_48639	t	Zrouxii	4764_196846	t	1
Knaganishii	4763_48636	t	Knaganishii	4764_196855	t	1
Scerevisiae	4763_48631	t	Scerevisiae	4764_196867	t	1
Egossypii	4763_48622	t	Egossypii	4764_196842	t	1
Ecymbalariae	4763_48621	t	Ecymbalariae	4764_196841	t	1
node_3	4763_48620	t	node_3	4764_196840	t	1
Lkluyveri	4763_48617	t	Lkluyveri	4764_196838	t	1
Lthermotolerans	4763_48616	t	Lthermotolerans	4764_196837	t	1
node_1	4763_48615	t	node_1	4764_196836	t	1
Cglabrata	4763_48612	t	Cglabrata	4764_196866	t	1
Klactis	4763_48603	t	Klactis	4764_196843	t	1
Ecymbalariae	2149_36546	h	Ecymbalariae	3635_23813	h	1
Tblattae	864_65253	t	Tblattae	876_191356	t	1
Tphaffii	864_65252	t	Tphaffii	876_191375	t	1
Ndairenensis	864_65250	t	Ndairenensis	876_191353	t	1
Kafricana	864_65247	t	Kafricana	876_191368	t	1
Ncastellii	864_65243	t	Ncastellii	876_191372	t	1
Knaganishii	864_65240	t	Knaganishii	876_191369	t	1
Scerevisiae	864_65235	t	Scerevisiae	876_191348	t	1
Cglabrata	864_65234	t	Cglabrata	876_191365	t	1
node_7	864_65232	t	node_7	876_191362	t	1
Tdelbrueckii	864_65230	t	Tdelbrueckii	876_191360	t	1
Zrouxii	864_65229	t	Zrouxii	876_191359	t	1
Klactis	864_65226	t	Klactis	876_191340	t	1
Egossypii	864_65225	t	Egossypii	876_191339	t	1
Ecymbalariae	864_65224	t	Ecymbalariae	876_191338	t	1
node_3	864_65223	t	node_3	876_191337	t	1
node_2	864_65222	t	node_2	876_191336	t	1
Lkluyveri	864_65221	t	Lkluyveri	876_191335	t	1
Lthermotolerans	864_65220	t	Lthermotolerans	876_191334	t	1
node_1	864_65219	t	node_1	876_191333	t	1
node_0	864_65218	t	node_0	876_191332	t	1
Tphaffii	1182_204874	h	Tphaffii	1885_31481	h	1
Tdelbrueckii	1182_204850	h	Tdelbrueckii	1885_31488	h	1
Zrouxii	1182_204849	h	Zrouxii	1885_31477	h	1
Klactis	1182_204846	h	Klactis	1885_31473	h	1
Egossypii	1182_204845	h	Egossypii	1885_31511	h	1
Ecymbalariae	1182_204844	h	Ecymbalariae	1885_31472	h	1
node_2	1182_204842	h	node_2	1885_31469	h	1
Lkluyveri	1182_204841	h	Lkluyveri	1885_31468	h	1
Lthermotolerans	1182_204840	h	Lthermotolerans	1885_31506	h	1
Egossypii	1408_205236	h	Egossypii	2174_198852	t	1
Ecymbalariae	4123_24039	t	Ecymbalariae	4147_92558	t	1
Tblattae	2642_185442	t	Tblattae	4794_179212	t	1
Tphaffii	2642_185441	t	Tphaffii	4794_179201	t	1
Tdelbrueckii	2642_185419	t	Tdelbrueckii	4794_179180	t	1
Zrouxii	2642_185418	t	Zrouxii	4794_179179	t	1
Klactis	2642_185414	t	Klactis	4794_179165	t	1
Egossypii	2642_185413	t	Egossypii	4794_179164	t	1
Ecymbalariae	2642_185412	t	Ecymbalariae	4794_179163	t	1
node_3	2642_185411	t	node_3	4794_179162	t	1
node_2	2642_185410	t	node_2	4794_179161	t	1
Lkluyveri	2642_185409	t	Lkluyveri	4794_179160	t	1
Lthermotolerans	2642_185408	t	Lthermotolerans	4794_179159	t	1
node_1	2642_185407	t	node_1	4794_179158	t	1
node_0	2642_185406	t	node_0	4794_179157	t	1
Ndairenensis	1723_82364	h	Ndairenensis	2045_181306	t	1
Ncastellii	1723_82363	h	Ncastellii	2045_181305	t	1
Tblattae	706_31764	h	Tblattae	3031_168470	h	1
Egossypii	3937_210534	h	Egossypii	4600_56657	t	1
Ecymbalariae	3937_210533	h	Ecymbalariae	4600_56656	t	1
Lkluyveri	3937_210530	h	Lkluyveri	4600_56653	t	1
Lthermotolerans	3937_210529	h	Lthermotolerans	4600_56652	t	1
Ndairenensis	608_129877	h	Ndairenensis	3675_69146	t	1
Scerevisiae	4564_47929	h	Scerevisiae	4690_217615	t	1
Cglabrata	4564_47928	h	Cglabrata	4690_217595	t	1
Tdelbrueckii	4564_47923	h	Tdelbrueckii	4690_217588	t	1
Zrouxii	4564_47922	h	Zrouxii	4690_217587	t	1
Tblattae	4564_47910	h	Tblattae	4690_217618	t	1
Ndairenensis	4564_47907	h	Ndairenensis	4690_217609	t	1
Ncastellii	4564_47906	h	Ncastellii	4690_217608	t	1
Knaganishii	4564_47904	h	Knaganishii	4690_217626	t	1
Tphaffii	4564_47897	h	Tphaffii	4690_217629	t	1
Kafricana	4564_47894	h	Kafricana	4690_217625	t	1
Klactis	4564_47879	h	Klactis	4690_217584	t	1
Egossypii	4564_47878	h	Egossypii	4690_217577	t	1
Ecymbalariae	4564_47877	h	Ecymbalariae	4690_217576	t	1
Lkluyveri	4564_47874	h	Lkluyveri	4690_217581	t	1
Lthermotolerans	4564_47873	h	Lthermotolerans	4690_217572	t	1
Scerevisiae	217_22544	h	Scerevisiae	3619_13843	h	1
Tblattae	3932_222376	h	Tblattae	3935_30913	h	1
Tphaffii	3932_222355	h	Tphaffii	3935_30922	h	1
Tblattae	2689_55250	h	Tblattae	3962_234274	h	1
Tdelbrueckii	158_122723	h	Tdelbrueckii	1371_166295	t	1
Zrouxii	158_122722	h	Zrouxii	1371_166294	t	1
Ndairenensis	158_122715	h	Ndairenensis	1371_166318	t	1
Klactis	158_122701	h	Klactis	1371_166291	t	1
Egossypii	158_122700	h	Egossypii	1371_166290	t	1
node_2	158_122697	h	node_2	1371_166287	t	1
Lkluyveri	158_122696	h	Lkluyveri	1371_166286	t	1
Lthermotolerans	158_122695	h	Lthermotolerans	1371_166285	t	1
node_1	158_122694	h	node_1	1371_166284	t	1
Tblattae	1404_150447	h	Tblattae	1406_167676	h	1
Scerevisiae	1404_150427	h	Scerevisiae	1406_167666	h	1
Scerevisiae	4693_123410	h	Scerevisiae	4695_188043	t	1
Tphaffii	4693_123403	h	Tphaffii	4695_188038	t	1
Kafricana	4693_123400	h	Kafricana	4695_188047	t	1
Tblattae	4693_123391	h	Tblattae	4695_188053	t	1
Ndairenensis	4693_123387	h	Ndairenensis	4695_188050	t	1
Ndairenensis	4693_123384	h	Ndairenensis	4695_188035	t	1
Ncastellii	4693_123380	h	Ncastellii	4695_188034	t	1
Tdelbrueckii	4693_123369	h	Tdelbrueckii	4695_188024	t	1
Zrouxii	4693_123368	h	Zrouxii	4695_188023	t	1
Cglabrata	4693_123360	h	Cglabrata	4695_188042	t	1
Klactis	4693_123351	h	Klactis	4695_188020	t	1
Egossypii	4693_123350	h	Egossypii	4695_188019	t	1
Ecymbalariae	4693_123349	h	Ecymbalariae	4695_188018	t	1
node_3	4693_123348	h	node_3	4695_188017	t	1
node_2	4693_123347	h	node_2	4695_188016	t	1
Lkluyveri	4693_123346	h	Lkluyveri	4695_188015	t	1
Lthermotolerans	4693_123345	h	Lthermotolerans	4695_188014	t	1
node_1	4693_123344	h	node_1	4695_188013	t	1
node_0	4693_123343	h	node_0	4695_188012	t	1
Ndairenensis	2162_15695	t	Ndairenensis	2163_44540	h	1
Ncastellii	2162_15694	t	Ncastellii	2163_44539	h	1
node_11	2162_15693	t	node_11	2163_44538	h	1
Knaganishii	2162_15692	t	Knaganishii	2163_44537	h	1
Kafricana	2162_15691	t	Kafricana	2163_44534	h	1
node_10	2162_15690	t	node_10	2163_44533	h	1
Scerevisiae	2162_15688	t	Scerevisiae	2163_44531	h	1
Cglabrata	2162_15687	t	Cglabrata	2163_44530	h	1
Klactis	2162_15679	t	Klactis	2163_44522	h	1
Ecymbalariae	2162_15677	t	Ecymbalariae	2163_44520	h	1
Lkluyveri	2162_15674	t	Lkluyveri	2163_44517	h	1
Lthermotolerans	2162_15673	t	Lthermotolerans	2163_44516	h	1
Knaganishii	2057_174006	h	Knaganishii	2058_105276	h	1
Kafricana	2057_174005	h	Kafricana	2058_105275	h	1
Tphaffii	2057_173997	h	Tphaffii	2058_105281	h	1
Ncastellii	2057_173993	h	Ncastellii	2058_105278	h	1
Tblattae	2057_173986	h	Tblattae	2058_105282	h	1
Scerevisiae	2057_173983	h	Scerevisiae	2058_105272	h	1
Tdelbrueckii	2057_173975	h	Tdelbrueckii	2058_105267	h	1
Zrouxii	2057_173974	h	Zrouxii	2058_105266	h	1
node_5	2057_173973	h	node_5	2058_105265	h	1
node_4	2057_173972	h	node_4	2058_105264	h	1
Klactis	2057_173971	h	Klactis	2058_105254	h	1
Egossypii	2057_173970	h	Egossypii	2058_105263	h	1
Ecymbalariae	2057_173969	h	Ecymbalariae	2058_105262	h	1
Lkluyveri	2057_173966	h	Lkluyveri	2058_105258	h	1
Lthermotolerans	2057_173965	h	Lthermotolerans	2058_105251	h	1
Ndairenensis	2894_219922	h	Ndairenensis	2895_79227	t	1
Ncastellii	2894_219920	h	Ncastellii	2895_79226	t	1
Knaganishii	2894_219917	h	Knaganishii	2895_79238	t	1
Kafricana	2894_219916	h	Kafricana	2895_79237	t	1
Scerevisiae	2894_219913	h	Scerevisiae	2895_79222	t	1
Tblattae	2933_24777	t	Tblattae	4768_175944	t	1
Tphaffii	2933_24776	t	Tphaffii	4768_175943	t	1
Tdelbrueckii	2933_24761	t	Tdelbrueckii	4768_175948	t	1
Zrouxii	2933_24760	t	Zrouxii	4768_175929	t	1
Klactis	2933_24757	t	Klactis	4768_175924	t	1
Egossypii	2933_24756	t	Egossypii	4768_175923	t	1
Ecymbalariae	2933_24755	t	Ecymbalariae	4768_175922	t	1
node_3	2933_24754	t	node_3	4768_175921	t	1
node_2	2933_24753	t	node_2	4768_175920	t	1
Lkluyveri	2933_24752	t	Lkluyveri	4768_175919	t	1
Lthermotolerans	2933_24751	t	Lthermotolerans	4768_175918	t	1
node_1	2933_24750	t	node_1	4768_175917	t	1
node_0	2933_24749	t	node_0	4768_175916	t	1
Ncastellii	3390_14752	t	Ncastellii	4439_195752	t	1
Knaganishii	3390_14750	t	Knaganishii	4439_195749	t	1
Kafricana	3390_14749	t	Kafricana	4439_195748	t	1
node_10	3390_14748	t	node_10	4439_195747	t	1
Scerevisiae	3390_14746	t	Scerevisiae	4439_195745	t	1
Cglabrata	3390_14745	t	Cglabrata	4439_195744	t	1
Knaganishii	4507_153588	t	Knaganishii	4509_85810	t	1
Tblattae	990_230562	t	Tblattae	4393_201939	h	1
Ecymbalariae	3596_45953	t	Ecymbalariae	4510_210815	h	1
Cglabrata	932_139824	h	Cglabrata	934_94823	t	1
Tdelbrueckii	364_151048	h	Tdelbrueckii	1679_47948	t	1
Zrouxii	364_151047	h	Zrouxii	1679_47947	t	1
node_5	364_151046	h	node_5	1679_47946	t	1
Lkluyveri	364_151044	h	Lkluyveri	1679_47939	t	1
Lthermotolerans	364_151016	h	Lthermotolerans	1679_47938	t	1
Tblattae	3907_7658	h	Tblattae	3913_98202	h	1
Cglabrata	1430_220217	t	Cglabrata	2385_21641	t	1
Tblattae	992_98831	h	Tblattae	4569_81978	t	1
Tphaffii	1118_216364	t	Tphaffii	4865_177796	t	1
Scerevisiae	2768_16042	h	Scerevisiae	2771_35437	t	1
Knaganishii	1524_200106	t	Knaganishii	2267_14178	t	1
Ndairenensis	1524_200088	t	Ndairenensis	2267_14194	t	1
Ncastellii	1524_200087	t	Ncastellii	2267_14193	t	1
Scerevisiae	1524_200079	t	Scerevisiae	2267_14187	t	1
Cglabrata	1524_200052	t	Cglabrata	2267_14173	t	1
Scerevisiae	422_67001	t	Scerevisiae	1708_222853	h	1
Cglabrata	422_66988	t	Cglabrata	1708_222869	h	1
Tblattae	3746_160225	t	Tblattae	3767_71549	t	1
Cglabrata	437_46827	h	Cglabrata	1650_76647	t	1
Tblattae	151_116534	h	Tblattae	152_217884	t	1
Ndairenensis	151_116531	h	Ndairenensis	152_217826	t	1
Ncastellii	151_116530	h	Ncastellii	152_217825	t	1
Knaganishii	151_116528	h	Knaganishii	152_217881	t	1
Kafricana	151_116527	h	Kafricana	152_217880	t	1
node_10	151_116526	h	node_10	152_217879	t	1
Cglabrata	151_116500	h	Cglabrata	152_217876	t	1
Ndairenensis	151_116493	h	Ndairenensis	152_217859	t	1
Ncastellii	151_116492	h	Ncastellii	152_217858	t	1
node_11	151_116491	h	node_11	152_217857	t	1
Kafricana	151_116489	h	Kafricana	152_217856	t	1
Scerevisiae	151_116481	h	Scerevisiae	152_217821	t	1
Tdelbrueckii	151_116473	h	Tdelbrueckii	152_217837	t	1
Zrouxii	151_116472	h	Zrouxii	152_217848	t	1
Egossypii	151_116469	h	Egossypii	152_217869	t	1
Ecymbalariae	151_116468	h	Ecymbalariae	152_217868	t	1
Lkluyveri	151_116464	h	Lkluyveri	152_217832	t	1
Egossypii	2840_162395	h	Egossypii	4108_168878	h	1
Tblattae	358_30621	h	Tblattae	4166_104920	h	1
Tphaffii	358_30620	h	Tphaffii	4166_104909	h	1
Tdelbrueckii	358_30606	h	Tdelbrueckii	4166_104897	h	1
Zrouxii	358_30605	h	Zrouxii	4166_104896	h	1
node_5	358_30604	h	node_5	4166_104895	h	1
Klactis	358_30602	h	Klactis	4166_104893	h	1
Egossypii	358_30601	h	Egossypii	4166_104928	h	1
Ecymbalariae	358_30600	h	Ecymbalariae	4166_104892	h	1
