> CAGL0A00187g CAGL0A00165g 54652 233147
> NDAI0D03650 NDAI0D03660 54639 233154
> NCAS0A01730 NCAS0A01740 54638 233153

	233157 233156 233155 233154 233153 233152 233151 233150 233149 233148 233147 233146 233145 233144 233143 233142 233141 233140 233139 233138 233137 233136 233135 233134 233133 233132 233131 233130 233129 
54633	0 0 0 0 0 0 0 0 0 0 0.7499517591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54632	0 0 0 0 0 0 0 0 0 0 0 0 0.7499744557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54631	0 0 0 0 0 0 0 0 0 0 0 0 0 0.7499971544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54630	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54629	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54628	0 0 0 0 0 0 0 0 3.977013603e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54627	0 0 0 0 0 4.54045672e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54626	0 0 0 0 0 0 0 0 0 6.699105926e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54625	0 0 0 0 0 0 0 0 0 0 0 0 4.540714337e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54624	0 0 0 0 0 0 0 0 0 0 0 0 0 9.275506953e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54623	0 0 0 0 0 0 0 0 0 0 0 0 0 0.6249985804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54622	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5000000013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54621	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3750127715 0 0 0 0 0 0 0 0 0 0 0 
54620	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3750014221 0 0 0 0 0 0 0 0 0 0 
54619	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.250002844 0 0 0 0 0 0 0 0 0 0 
54618	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54617	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54616	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54615	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.052779056e-13 0 0 0 0 0 0 
54614	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.57758266e-10 0 0 0 0 0 
54613	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54612	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54611	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.577465649e-10 0 0 
54610	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.675442405e-06 0 
54609	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1250042613 
