> TPHA0K01670 TPHA0K01660 54655 218502
> CAGL0A00187g CAGL0A00209g 54652 218511
> TDEL0F02500 TDEL0F02490 54646 218490
> ZYRO0G09856g ZYRO0G09878g 54645 218489
> TBLA0A08990 TBLA0A09010 54642 218503
> NDAI0D03650 NDAI0D03640 54639 218500
> NCAS0A01730 NCAS0A01720 54638 218499
> YGL023C YGL022W 54634 218512
> KNAG0D03270 KNAG0D03280 54630 218497
> KAFR0F03170 KAFR0F03180 54629 218496
> AFR490C AFR491W 54617 218485
> Ecym_1434 Ecym_1435 54616 218484
> SAKL0H21582g SAKL0H21604g 54613 218476
> KLTH0E07480g KLTH0E07502g 54612 218480

	218512 218511 218510 218509 218508 218507 218506 218505 218504 218503 218502 218501 218500 218499 218498 218497 218496 218495 218494 218493 218492 218491 218490 218489 218488 218487 218486 218485 218484 218483 218482 218481 218480 218479 218478 218477 218476 218475 218474 218473 218472 218471 218470 218469 218468 218467 218466 218465 218464 
54636	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7999600481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54635	0 0 0 0.8664579413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7999872856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54634	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54633	0 0.9332062699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54632	0 0 0.9332456068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5999745758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54631	0 0 0 0 0.8664912172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5999836539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54630	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54629	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54628	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999909198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54627	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7999600481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54626	0 0 0 0.0001633977172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7999872856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54625	0 0 0.0001633977172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5999745758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54624	0 0 0 0 0.0001180105634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5999836539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54623	0 0 0 0 0.7998457545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999455157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54622	0 0 0 0 0 0 0.7331216207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999152528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54621	0 0 0 0 0 0 0 0.6663823805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6665668235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54620	0 0 0 0 0 0 0 0 0.6663974887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6665819484 0.0002117100752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54619	0 0 0 0 0 0 0 0 0.0001209920548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0002419725716 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54618	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999243367 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54617	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54616	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54615	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999999986 0 0 0 0 0 0 0 0 0 0 0 0 0 4.540405185e-05 0 0 0 0 0 
54614	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999697318 0 0 0 0 0 0 0 0.3333888167 0 0 0 0 6.183710305e-09 0 0 0 0 
54613	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999243373 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
54612	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0.6666717087 0 0 0 0 0 0 0 0 0 0 0 
54611	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999697325 0 0 0 0.6666868432 0 0 0 0 0 0 4.540611307e-05 0 0 0 
54610	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.999939469 0 0 0 0 0.3333736878 0.9999999897 0 0 0 0 8.245113408e-09 0.9999999918 0 
54609	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999999938 
